"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.mariadb.jdbc.client.result.Result.getTimestamp ()","13,255 ms (0.5%)","13,255 ms (0.5%)","183,429 ms (0%)","183,429 ms (0%)","68"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveInstance ()","13,188 ms (0.5%)","13,188 ms (0.5%)","376,293 ms (0.1%)","376,293 ms (0.1%)","128"
"org.hibernate.persister.entity.AbstractEntityPersister.getPropertyValues ()","12,872 ms (0.5%)","12,872 ms (0.5%)","63,807 ms (0%)","63,807 ms (0%)","22"
"org.hibernate.event.internal.AbstractFlushingEventListener.lambda$postFlush$1 ()","12,802 ms (0.5%)","12,802 ms (0.5%)","53,659 ms (0%)","53,659 ms (0%)","16"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.extractConcreteTypeStateValues ()","12,707 ms (0.5%)","12,707 ms (0.5%)","432,929 ms (0.1%)","432,929 ms (0.1%)","149"
"org.mariadb.jdbc.client.column.TimestampColumn.decodeTimestampBinary ()","11,990 ms (0.5%)","11,990 ms (0.5%)","162,584 ms (0%)","162,584 ms (0%)","61"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.wrapCollections ()","11,383 ms (0.5%)","11,383 ms (0.5%)","42,017 ms (0%)","41,912 ms (0%)","17"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveEntityInstance ()","11,202 ms (0.5%)","11,202 ms (0.5%)","105,663 ms (0%)","105,663 ms (0%)","70"
"org.hibernate.engine.spi.ActionQueue.executeActions ()","10,989 ms (0.4%)","10,989 ms (0.4%)","37,613 ms (0%)","32,794 ms (0%)","19"
"io.jsonwebtoken.impl.JwtMap.setDate ()","10,917 ms (0.4%)","10,917 ms (0.4%)","10,917 ms (0%)","10,917 ms (0%)","2"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","10,735 ms (0.4%)","10,735 ms (0.4%)","18,800,991 ms (3.2%)","16,599,692 ms (3.6%)","17,254"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.deepCopy ()","10,566 ms (0.4%)","10,566 ms (0.4%)","10,566 ms (0%)","10,566 ms (0%)","7"
"org.hibernate.engine.internal.EntityEntryContext.addEntityEntry ()","10,216 ms (0.4%)","10,216 ms (0.4%)","30,607 ms (0%)","30,607 ms (0%)","15"
"io.micrometer.core.instrument.observation.DefaultMeterObservationHandler.createTags ()","10,188 ms (0.4%)","10,188 ms (0.4%)","14,875 ms (0%)","14,875 ms (0%)","4"
"org.apache.tomcat.util.buf.Ascii.isDigit ()","10,178 ms (0.4%)","10,178 ms (0.4%)","10,178 ms (0%)","10,178 ms (0%)","2"
"org.hibernate.event.internal.WrapVisitor.processCollection ()","9,927 ms (0.4%)","9,927 ms (0.4%)","9,927 ms (0%)","9,927 ms (0%)","6"
"ch.qos.logback.classic.Logger.isTraceEnabled ()","9,894 ms (0.4%)","9,894 ms (0.4%)","86,421 ms (0%)","86,421 ms (0%)","62"
"org.hibernate.engine.internal.EntityEntryContext.reentrantSafeEntityEntries ()","9,867 ms (0.4%)","9,867 ms (0.4%)","11,668 ms (0%)","11,668 ms (0%)","8"
"org.apache.coyote.AbstractProcessor.action ()","9,791 ms (0.4%)","9,791 ms (0.4%)","241,928 ms (0%)","241,928 ms (0.1%)","69"
"io.micrometer.observation.ObservationHandler$FirstMatchingCompositeObservationHandler.getFirstApplicableHandler ()","9,298 ms (0.4%)","9,298 ms (0.4%)","13,902 ms (0%)","13,902 ms (0%)","4"
"org.apache.catalina.connector.Request.getMethod ()","9,212 ms (0.4%)","9,212 ms (0.4%)","9,212 ms (0%)","9,212 ms (0%)","3"
"org.hibernate.type.AbstractStandardBasicType.getHashCode ()","8,864 ms (0.4%)","8,864 ms (0.4%)","16,889 ms (0%)","16,889 ms (0%)","23"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.getDirtyPropertiesFromCustomEntityDirtinessStrategy ()","8,858 ms (0.4%)","8,858 ms (0.4%)","8,858 ms (0%)","8,858 ms (0%)","5"
"org.hibernate.event.internal.AbstractFlushingEventListener.flushEntities ()","8,696 ms (0.4%)","8,696 ms (0.4%)","309,271 ms (0.1%)","309,061 ms (0.1%)","120"
"org.hibernate.sql.exec.spi.JdbcParameterBindings.createAndAddBinding ()","8,678 ms (0.4%)","8,678 ms (0.4%)","12,480 ms (0%)","12,480 ms (0%)","3"
"org.hibernate.jpa.event.internal.CallbackRegistryImpl.postLoad ()","8,600 ms (0.4%)","8,600 ms (0.4%)","8,600 ms (0%)","8,600 ms (0%)","4"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer$$Lambda$2173.0x000000080193f868.accept ()","8,592 ms (0.3%)","8,592 ms (0.3%)","8,592 ms (0%)","8,592 ms (0%)","4"
"com.zaxxer.hikari.pool.HikariProxyResultSet.wasNull ()","8,197 ms (0.3%)","8,197 ms (0.3%)","8,215 ms (0%)","8,215 ms (0%)","3"
"org.hibernate.engine.internal.AbstractEntityEntry.requiresDirtyCheck ()","7,792 ms (0.3%)","7,792 ms (0.3%)","15,584 ms (0%)","15,584 ms (0%)","4"
"org.hibernate.engine.spi.BatchFetchQueue.addBatchLoadableCollection ()","7,783 ms (0.3%)","7,783 ms (0.3%)","84,546 ms (0%)","84,546 ms (0%)","31"
"org.hibernate.collection.spi.AbstractPersistentCollection$IteratorProxy.next ()","7,708 ms (0.3%)","7,708 ms (0.3%)","7,708 ms (0%)","7,708 ms (0%)","4"
"io.netty.channel.AbstractChannelHandlerContext.isNotValidPromise ()","7,309 ms (0.3%)","7,309 ms (0.3%)","7,309 ms (0%)","7,309 ms (0%)","2"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.writeNumber ()","7,306 ms (0.3%)","7,306 ms (0.3%)","11,108 ms (0%)","11,108 ms (0%)","4"
"org.apache.tomcat.util.buf.MessageBytes.toBytesSimple ()","7,262 ms (0.3%)","7,262 ms (0.3%)","7,262 ms (0%)","7,262 ms (0%)","2"
"org.hibernate.query.sqm.sql.BaseSqmToSqlAstConverter$SqmAliasedNodePositionTracker.countIndividualSelections ()","7,203 ms (0.3%)","7,203 ms (0.3%)","7,203 ms (0%)","7,203 ms (0%)","1"
"org.hibernate.sql.results.graph.collection.internal.DelayedCollectionFetch.createInitializer ()","7,203 ms (0.3%)","7,203 ms (0.3%)","7,203 ms (0%)","7,203 ms (0%)","2"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChild ()","7,203 ms (0.3%)","7,203 ms (0.3%)","7,203 ms (0%)","7,203 ms (0%)","1"
"org.hibernate.sql.results.internal.InitializersList.resolveKeys ()","7,203 ms (0.3%)","7,203 ms (0.3%)","153,585 ms (0%)","153,585 ms (0%)","65"
"org.hibernate.sql.results.graph.collection.internal.CollectionAssembler.assemble ()","7,063 ms (0.3%)","7,063 ms (0.3%)","7,063 ms (0%)","7,063 ms (0%)","4"
"com.fasterxml.jackson.databind.type.TypeBindings$AsKey.equals ()","7,034 ms (0.3%)","7,034 ms (0.3%)","7,034 ms (0%)","7,034 ms (0%)","2"
