"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","3,576 ms (0.5%)","3,576 ms (0.5%)","8,779 ms (0%)","8,779 ms (0%)","12"
"jakarta.servlet.http.HttpServletRequestWrapper.getMethod ()","3,568 ms (0.5%)","3,568 ms (0.5%)","3,568 ms (0%)","3,568 ms (0%)","13"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.setIdentifier ()","3,545 ms (0.5%)","3,545 ms (0.5%)","3,545 ms (0%)","3,545 ms (0%)","4"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.extractConcreteTypeStateValues ()","3,436 ms (0.5%)","3,436 ms (0.5%)","140,342 ms (0%)","140,342 ms (0.2%)","174"
"org.antlr.v4.runtime.ParserRuleContext.getRuleContext ()","3,430 ms (0.5%)","3,430 ms (0.5%)","3,430 ms (0%)","3,430 ms (0%)","5"
"org.hibernate.sql.results.internal.domain.CircularFetchImpl$CircularFetchAssembler.assemble ()","3,294 ms (0.5%)","3,294 ms (0.5%)","3,294 ms (0%)","3,294 ms (0%)","5"
"org.hibernate.type.descriptor.java.DataHelper.extractString ()","3,118 ms (0.5%)","3,118 ms (0.5%)","36,536 ms (0%)","36,536 ms (0%)","52"
"org.hibernate.engine.internal.StatefulPersistenceContext.clear ()","2,910 ms (0.4%)","2,910 ms (0.4%)","16,502 ms (0%)","16,502 ms (0%)","23"
"org.hibernate.engine.internal.EntityEntryContext.addEntityEntry ()","2,811 ms (0.4%)","2,811 ms (0.4%)","17,227 ms (0%)","17,227 ms (0%)","22"
"org.hibernate.internal.util.collections.IdentityMap.lambda$onEachKey$0 ()","2,810 ms (0.4%)","2,810 ms (0.4%)","2,810 ms (0%)","2,810 ms (0%)","5"
"org.hibernate.sql.results.graph.FetchParentAccess.determineOwningParent ()","2,599 ms (0.4%)","2,599 ms (0.4%)","2,599 ms (0%)","2,599 ms (0%)","2"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesSourceProcessingStateStandardImpl$$Lambda$2773.0x0000000801b551c0.accept ()","2,597 ms (0.4%)","2,597 ms (0.4%)","2,894 ms (0%)","2,894 ms (0%)","4"
"org.hibernate.sql.exec.internal.JdbcSelectExecutorStandardImpl$1.getEffectiveOptionalObject ()","2,592 ms (0.4%)","2,592 ms (0.4%)","2,592 ms (0%)","2,592 ms (0%)","2"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesSourceProcessingStateStandardImpl.findLoadingCollectionLocally ()","2,523 ms (0.4%)","2,523 ms (0.4%)","12,746 ms (0%)","12,746 ms (0%)","16"
"org.hibernate.sql.exec.spi.ExecutionContext.hasCallbackActions ()","2,522 ms (0.4%)","2,522 ms (0.4%)","3,310 ms (0%)","3,310 ms (0%)","4"
"org.hibernate.engine.spi.SharedSessionContractImplementor.checkOpen ()","2,511 ms (0.4%)","2,511 ms (0.4%)","2,511 ms (0%)","2,511 ms (0%)","3"
"io.micrometer.core.instrument.Tags.and ()","2,509 ms (0.4%)","2,509 ms (0.4%)","5,736 ms (0%)","5,736 ms (0%)","9"
"org.hibernate.sql.results.internal.InitializersList.resolveInstances ()","2,402 ms (0.4%)","2,402 ms (0.4%)","173,353 ms (0%)","173,353 ms (0.2%)","227"
"org.apache.catalina.core.StandardWrapperValve.invoke ()","2,378 ms (0.4%)","2,378 ms (0.4%)","46,572,517 ms (2.8%)","2,679,577 ms (3.1%)","9,685"
"com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap.get ()","2,331 ms (0.4%)","2,331 ms (0.4%)","4,125 ms (0%)","4,125 ms (0%)","5"
"io.netty.util.HashedWheelTimer$Worker.run ()","2,211 ms (0.3%)","2,211 ms (0.3%)","298,137 ms (0%)","3,768 ms (0%)","1"
"io.micrometer.core.instrument.Tags.tagsEqual ()","2,115 ms (0.3%)","2,115 ms (0.3%)","2,115 ms (0%)","2,115 ms (0%)","2"
"org.hibernate.metamodel.model.domain.internal.MappingMetamodelImpl.getCollectionDescriptor ()","2,101 ms (0.3%)","2,101 ms (0.3%)","3,087 ms (0%)","3,087 ms (0%)","3"
"org.hibernate.sql.results.internal.RowProcessingStateStandardImpl.getJdbcValue ()","2,095 ms (0.3%)","2,095 ms (0.3%)","151,008 ms (0%)","151,008 ms (0.2%)","188"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesSourceProcessingStateStandardImpl.registerLoadingEntityHolder ()","2,057 ms (0.3%)","2,057 ms (0.3%)","2,057 ms (0%)","2,057 ms (0%)","3"
"com.fasterxml.jackson.databind.ObjectMapper._newWriter ()","2,039 ms (0.3%)","2,039 ms (0.3%)","2,039 ms (0%)","2,039 ms (0%)","2"
"org.hibernate.event.internal.AbstractFlushingEventListener.flushCollections ()","2,036 ms (0.3%)","2,036 ms (0.3%)","11,130 ms (0%)","11,130 ms (0%)","13"
"org.mariadb.jdbc.message.ClientMessage.readPacket ()","2,012 ms (0.3%)","2,012 ms (0.3%)","391,884 ms (0%)","73,646 ms (0.1%)","499"
"org.hibernate.engine.spi.CollectionEntry.postInitialize ()","1,959 ms (0.3%)","1,959 ms (0.3%)","39,446 ms (0%)","39,446 ms (0%)","58"
"com.fasterxml.jackson.databind.JavaType.getReferencedType ()","1,943 ms (0.3%)","1,943 ms (0.3%)","1,943 ms (0%)","1,943 ms (0%)","2"
"com.fasterxml.jackson.core.json.UTF8StreamJsonParser._parseName ()","1,885 ms (0.3%)","1,885 ms (0.3%)","1,885 ms (0%)","1,885 ms (0%)","2"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.dirtyCheck ()","1,848 ms (0.3%)","1,848 ms (0.3%)","12,569 ms (0%)","12,569 ms (0%)","16"
"org.apache.coyote.http11.Http11Processor.isConnectionToken ()","1,822 ms (0.3%)","1,822 ms (0.3%)","5,404 ms (0%)","5,404 ms (0%)","6"
"com.fasterxml.jackson.core.JsonFactory._createUTF8Generator ()","1,818 ms (0.3%)","1,818 ms (0.3%)","1,818 ms (0%)","1,818 ms (0%)","2"
"org.apache.catalina.connector.RequestFacade.getAttribute ()","1,791 ms (0.3%)","1,791 ms (0.3%)","3,612 ms (0%)","3,612 ms (0%)","5"
"org.hibernate.sql.exec.internal.CallbackImpl.<init> ()","1,772 ms (0.3%)","1,772 ms (0.3%)","1,772 ms (0%)","1,772 ms (0%)","2"
"org.mariadb.jdbc.client.result.CompleteResult.<init> ()","1,743 ms (0.3%)","1,743 ms (0.3%)","91,552 ms (0%)","55,262 ms (0.1%)","117"
