"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.apache.coyote.http11.Http11Processor.isConnectionToken ()","1,250,624 ms (10.6%)","1,250,624 ms (10.9%)","1,277,921 ms (0.1%)","1,277,921 ms (0.1%)","142"
"org.hibernate.loader.ast.spi.Loadable.isAffectedByInfluencers ()","719,942 ms (6.1%)","719,942 ms (6.2%)","719,942 ms (0%)","719,942 ms (0.1%)","62"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readPacket ()","442,815 ms (3.8%)","442,815 ms (3.8%)","485,760 ms (0%)","472,199 ms (0%)","107"
"org.hibernate.engine.internal.StatefulPersistenceContext$EntityHolderImpl.forEntity ()","366,556 ms (3.1%)","366,556 ms (3.2%)","366,556 ms (0%)","366,556 ms (0%)","51"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveKey ()","274,920 ms (2.3%)","274,920 ms (2.4%)","495,622 ms (0%)","495,622 ms (0%)","87"
"org.hibernate.internal.util.collections.IdentityMap.entryArray ()","266,254 ms (2.3%)","266,254 ms (2.3%)","266,254 ms (0%)","266,254 ms (0%)","33"
"com.example.sns_project.model.BaseEntity.equals ()","262,430 ms (2.2%)","262,430 ms (2.3%)","262,430 ms (0%)","262,430 ms (0%)","87"
"org.hibernate.persister.entity.AbstractEntityPersister.getPropertyValues ()","236,657 ms (2%)","236,657 ms (2.1%)","284,627 ms (0%)","284,627 ms (0%)","47"
"org.hibernate.type.SetType.instantiate ()","234,852 ms (2%)","234,852 ms (2%)","234,852 ms (0%)","234,852 ms (0%)","38"
"org.hibernate.type.descriptor.java.DataHelper.extractString ()","232,958 ms (2%)","232,958 ms (2%)","1,656,941 ms (0.1%)","1,656,941 ms (0.1%)","346"
"com.zaxxer.hikari.util.ConcurrentBag.requite ()","218,169 ms (1.9%)","218,169 ms (1.9%)","341,960 ms (0%)","297,915 ms (0%)","59"
"ch.qos.logback.classic.spi.TurboFilterList.getTurboFilterChainDecision ()","186,952 ms (1.6%)","186,952 ms (1.6%)","186,952 ms (0%)","186,952 ms (0%)","21"
"org.mariadb.jdbc.message.ClientMessage.readPacket ()","183,053 ms (1.6%)","183,053 ms (1.6%)","2,567,323 ms (0.1%)","1,093,401 ms (0.1%)","688"
"ch.qos.logback.classic.LoggerContext.getTurboFilterChainDecision_0_3OrMore ()","167,802 ms (1.4%)","167,802 ms (1.5%)","354,754 ms (0%)","354,754 ms (0%)","85"
"org.apache.coyote.http11.AbstractHttp11Protocol.createProcessor ()","163,937 ms (1.4%)","163,937 ms (1.4%)","165,348 ms (0%)","165,348 ms (0%)","15"
"org.hibernate.engine.internal.StatefulPersistenceContext.addUninitializedCollection ()","148,435 ms (1.3%)","148,435 ms (1.3%)","1,403,122 ms (0.1%)","1,403,122 ms (0.1%)","225"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.getDirtyPropertiesFromCustomEntityDirtinessStrategy ()","141,007 ms (1.2%)","141,007 ms (1.2%)","141,985 ms (0%)","141,985 ms (0%)","19"
"org.mariadb.jdbc.client.result.rowdecoder.BinaryRowDecoder.setPosition ()","136,812 ms (1.2%)","136,812 ms (1.2%)","136,812 ms (0%)","136,812 ms (0%)","41"
"org.hibernate.engine.internal.EntityEntryContext.addEntityEntry ()","128,856 ms (1.1%)","128,856 ms (1.1%)","163,093 ms (0%)","163,093 ms (0%)","24"
"org.hibernate.engine.internal.StatefulPersistenceContext.addCollection ()","119,247 ms (1%)","119,247 ms (1%)","778,387 ms (0%)","778,387 ms (0.1%)","129"
"org.hibernate.engine.internal.MutableEntityEntryFactory.createEntityEntry ()","116,627 ms (1%)","116,627 ms (1%)","144,617 ms (0%)","144,617 ms (0%)","22"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveKey ()","112,646 ms (1%)","112,646 ms (1%)","414,143 ms (0%)","414,143 ms (0%)","71"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.onFlushEntity ()","107,781 ms (0.9%)","107,781 ms (0.9%)","1,101,291 ms (0.1%)","1,101,291 ms (0.1%)","208"
"org.hibernate.event.internal.AbstractFlushingEventListener.lambda$postFlush$1 ()","106,195 ms (0.9%)","106,195 ms (0.9%)","270,264 ms (0%)","270,264 ms (0%)","43"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.readString ()","105,047 ms (0.9%)","105,047 ms (0.9%)","602,593 ms (0%)","602,593 ms (0%)","89"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.extractConcreteTypeStateValues ()","97,575 ms (0.8%)","97,575 ms (0.8%)","4,790,269 ms (0.3%)","4,790,269 ms (0.4%)","639"
"org.hibernate.type.AbstractStandardBasicType.getJavaType ()","95,154 ms (0.8%)","95,154 ms (0.8%)","95,154 ms (0%)","95,154 ms (0%)","8"
"org.hibernate.engine.spi.CascadingActions$8.noCascade ()","92,245 ms (0.8%)","92,245 ms (0.8%)","127,553 ms (0%)","127,553 ms (0%)","34"
"org.hibernate.internal.util.collections.IdentityMap.put ()","80,318 ms (0.7%)","80,318 ms (0.7%)","446,037 ms (0%)","446,037 ms (0%)","81"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveInstance ()","76,863 ms (0.7%)","76,863 ms (0.7%)","1,943,983 ms (0.1%)","1,943,983 ms (0.1%)","316"
"org.mariadb.jdbc.client.column.TimestampColumn.decodeTimestampBinary ()","76,079 ms (0.6%)","76,079 ms (0.7%)","1,801,245 ms (0.1%)","1,801,245 ms (0.1%)","263"
"io.micrometer.core.instrument.Tag.of ()","71,224 ms (0.6%)","71,224 ms (0.6%)","71,224 ms (0%)","71,224 ms (0%)","9"
"org.hibernate.engine.internal.EntityEntryContext.reentrantSafeEntityEntries ()","69,741 ms (0.6%)","69,741 ms (0.6%)","69,741 ms (0%)","69,741 ms (0%)","16"
"org.hibernate.sql.results.graph.FetchParentAccess.shouldSkipInitializer ()","68,545 ms (0.6%)","68,545 ms (0.6%)","543,515 ms (0%)","543,515 ms (0%)","161"
"io.micrometer.core.instrument.distribution.DistributionStatisticConfig$Builder.<init> ()","68,286 ms (0.6%)","68,286 ms (0.6%)","68,286 ms (0%)","68,286 ms (0%)","7"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.deepCopy ()","66,372 ms (0.6%)","66,372 ms (0.6%)","66,372 ms (0%)","66,372 ms (0%)","19"
"com.fasterxml.jackson.core.io.ContentReference.construct ()","65,514 ms (0.6%)","65,514 ms (0.6%)","65,514 ms (0%)","65,514 ms (0%)","10"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.wrapCollections ()","64,240 ms (0.5%)","64,240 ms (0.6%)","124,494 ms (0%)","124,494 ms (0%)","29"
"org.hibernate.event.internal.AbstractVisitor.processValue ()","62,519 ms (0.5%)","62,519 ms (0.5%)","239,256 ms (0%)","239,256 ms (0%)","106"
