"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"io.lettuce.core.codec.ByteArrayCodec.getBytes ()","56,970 ms (0.5%)","56,970 ms (0.5%)","56,970 ms (0%)","56,970 ms (0%)","9"
"org.hibernate.internal.util.collections.IdentityMap.get ()","55,099 ms (0.5%)","55,099 ms (0.5%)","89,609 ms (0%)","89,609 ms (0%)","12"
"org.hibernate.engine.spi.EntityKey.generateHashCode ()","53,560 ms (0.5%)","53,560 ms (0.5%)","84,186 ms (0%)","84,186 ms (0%)","11"
"org.hibernate.engine.spi.CollectionKey.generateHashCode ()","52,583 ms (0.4%)","52,583 ms (0.5%)","76,056 ms (0%)","76,056 ms (0%)","13"
"org.hibernate.engine.internal.EntityEntryContext.getEntityEntry ()","49,919 ms (0.4%)","49,919 ms (0.4%)","76,945 ms (0%)","76,945 ms (0%)","20"
"org.hibernate.engine.spi.BatchFetchQueue.getBatchLoadableEntityIds ()","49,493 ms (0.4%)","49,493 ms (0.4%)","49,493 ms (0%)","49,493 ms (0%)","6"
"org.hibernate.persister.entity.DirtyHelper.isDirty ()","48,612 ms (0.4%)","48,612 ms (0.4%)","84,505 ms (0%)","84,505 ms (0%)","22"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesResultSetImpl.getCurrentRowValue ()","48,034 ms (0.4%)","48,034 ms (0.4%)","4,983,078 ms (0.3%)","4,983,078 ms (0.4%)","682"
"org.hibernate.engine.internal.StatefulPersistenceContext.clear ()","47,671 ms (0.4%)","47,671 ms (0.4%)","130,548 ms (0%)","130,548 ms (0%)","31"
"org.mariadb.jdbc.client.result.Result.<init> ()","47,463 ms (0.4%)","47,463 ms (0.4%)","47,463 ms (0%)","47,463 ms (0%)","7"
"org.hibernate.engine.spi.CollectionKey.equals ()","47,141 ms (0.4%)","47,141 ms (0.4%)","96,447 ms (0%)","96,447 ms (0%)","16"
"io.micrometer.core.instrument.Tags.and ()","46,459 ms (0.4%)","46,459 ms (0.4%)","211,598 ms (0%)","211,598 ms (0%)","34"
"org.hibernate.sql.results.graph.collection.internal.DelayedCollectionFetch.createInitializer ()","46,113 ms (0.4%)","46,113 ms (0.4%)","46,113 ms (0%)","46,113 ms (0%)","10"
"org.hibernate.sql.results.internal.InitializersList.finishUpRow ()","45,131 ms (0.4%)","45,131 ms (0.4%)","49,610 ms (0%)","49,610 ms (0%)","15"
"org.hibernate.engine.spi.SharedSessionContractImplementor.checkOpen ()","43,360 ms (0.4%)","43,360 ms (0.4%)","43,360 ms (0%)","43,360 ms (0%)","8"
"org.hibernate.engine.internal.AbstractEntityEntry.getStatus ()","41,800 ms (0.4%)","41,800 ms (0.4%)","41,800 ms (0%)","41,800 ms (0%)","5"
"org.hibernate.sql.results.spi.ListResultsConsumer$Results.addUnique ()","41,269 ms (0.4%)","41,269 ms (0.4%)","41,269 ms (0%)","41,269 ms (0%)","11"
"com.fasterxml.jackson.core.util.BufferRecycler.balloc ()","39,855 ms (0.3%)","39,855 ms (0.3%)","39,855 ms (0%)","39,855 ms (0%)","5"
"org.hibernate.query.sqm.tree.predicate.SqmComparisonPredicate.<init> ()","39,655 ms (0.3%)","39,655 ms (0.3%)","39,758 ms (0%)","39,758 ms (0%)","4"
"org.hibernate.sql.results.internal.StandardRowReader.readRow ()","39,037 ms (0.3%)","39,037 ms (0.3%)","10,120,327 ms (0.6%)","10,120,327 ms (0.8%)","1,279"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.getDirtyProperties ()","36,989 ms (0.3%)","36,989 ms (0.3%)","178,974 ms (0%)","178,974 ms (0%)","23"
"com.example.sns_project.model.Post.<init> ()","36,294 ms (0.3%)","36,294 ms (0.3%)","81,423 ms (0%)","81,423 ms (0%)","10"
"org.apache.tomcat.util.buf.ByteChunk.toStringInternal ()","35,833 ms (0.3%)","35,833 ms (0.3%)","321,722 ms (0%)","321,722 ms (0%)","34"
"io.micrometer.core.instrument.Timer.builder ()","35,767 ms (0.3%)","35,767 ms (0.3%)","106,743 ms (0%)","106,743 ms (0%)","10"
"org.mariadb.jdbc.client.result.Result.getTimestamp ()","35,712 ms (0.3%)","35,712 ms (0.3%)","1,864,866 ms (0.1%)","1,864,866 ms (0.1%)","278"
"org.mariadb.jdbc.client.impl.StandardClient.readResponse ()","35,508 ms (0.3%)","35,508 ms (0.3%)","2,530,472 ms (0.1%)","1,079,851 ms (0.1%)","677"
"com.example.sns_project.model.User.<init> ()","34,752 ms (0.3%)","34,752 ms (0.3%)","189,126 ms (0%)","189,126 ms (0%)","30"
"org.hibernate.sql.results.graph.entity.internal.AbstractBatchEntitySelectFetchInitializer.resolveKey ()","34,368 ms (0.3%)","34,368 ms (0.3%)","111,902 ms (0%)","111,902 ms (0%)","27"
"io.micrometer.core.instrument.observation.DefaultMeterObservationHandler.onEvent ()","34,048 ms (0.3%)","34,048 ms (0.3%)","402,720 ms (0%)","402,720 ms (0%)","52"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveEntityInstance ()","31,963 ms (0.3%)","31,963 ms (0.3%)","755,998 ms (0%)","755,998 ms (0.1%)","241"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.dirtyCheck ()","31,431 ms (0.3%)","31,431 ms (0.3%)","302,335 ms (0%)","302,335 ms (0%)","51"
"io.micrometer.common.KeyValue.of ()","29,313 ms (0.2%)","29,313 ms (0.3%)","29,313 ms (0%)","29,313 ms (0%)","3"
"org.hibernate.jpa.event.internal.CallbackRegistryImpl.postLoad ()","28,961 ms (0.2%)","28,961 ms (0.3%)","28,961 ms (0%)","28,961 ms (0%)","9"
"io.micrometer.common.KeyValues.iterator ()","28,316 ms (0.2%)","28,316 ms (0.2%)","28,316 ms (0%)","28,316 ms (0%)","2"
"org.hibernate.engine.internal.EntityEntryContext.processEachManagedEntity ()","28,291 ms (0.2%)","28,291 ms (0.2%)","28,291 ms (0%)","28,291 ms (0%)","6"
"org.hibernate.engine.internal.MutableEntityEntry.<init> ()","27,895 ms (0.2%)","27,895 ms (0.2%)","27,990 ms (0%)","27,990 ms (0%)","4"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl.createInstance ()","27,588 ms (0.2%)","27,588 ms (0.2%)","27,588 ms (0%)","27,588 ms (0%)","8"
"org.hibernate.sql.results.internal.InitializersList.initializeInstance ()","27,518 ms (0.2%)","27,518 ms (0.2%)","5,704,624 ms (0.3%)","5,704,624 ms (0.4%)","764"
"org.hibernate.collection.spi.AbstractPersistentCollection.unsetSession ()","27,507 ms (0.2%)","27,507 ms (0.2%)","27,507 ms (0%)","27,507 ms (0%)","5"
"org.hibernate.sql.results.internal.RowProcessingStateStandardImpl.getQueryOptions ()","27,326 ms (0.2%)","27,326 ms (0.2%)","27,326 ms (0%)","27,326 ms (0%)","6"
"io.micrometer.core.instrument.Tags.of ()","26,923 ms (0.2%)","26,923 ms (0.2%)","95,407 ms (0%)","95,407 ms (0%)","15"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.getIdentifier ()","25,991 ms (0.2%)","25,991 ms (0.2%)","25,991 ms (0%)","25,991 ms (0%)","8"
"org.hibernate.engine.spi.EntityKey.equals ()","25,818 ms (0.2%)","25,818 ms (0.2%)","54,482 ms (0%)","54,482 ms (0%)","15"
"org.hibernate.sql.results.graph.entity.internal.EntityAssembler.assemble ()","25,676 ms (0.2%)","25,676 ms (0.2%)","25,676 ms (0%)","25,676 ms (0%)","11"
"org.hibernate.engine.internal.EntityEntryContext.clearAllReferencesFromManagedEntities ()","25,572 ms (0.2%)","25,572 ms (0.2%)","25,572 ms (0%)","25,572 ms (0%)","8"
"org.apache.coyote.Request.getContentType ()","25,269 ms (0.2%)","25,269 ms (0.2%)","51,989 ms (0%)","51,989 ms (0%)","6"
"org.apache.tomcat.util.http.MimeHeaders.createHeader ()","25,221 ms (0.2%)","25,221 ms (0.2%)","30,522 ms (0%)","30,522 ms (0%)","3"
"io.micrometer.observation.SimpleObservation.<init> ()","25,221 ms (0.2%)","25,221 ms (0.2%)","25,221 ms (0%)","25,221 ms (0%)","2"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.doCascade ()","25,142 ms (0.2%)","25,142 ms (0.2%)","25,142 ms (0%)","25,142 ms (0%)","4"
"org.hibernate.sql.results.internal.InitializersList.resolveInstances ()","25,094 ms (0.2%)","25,094 ms (0.2%)","3,175,681 ms (0.2%)","3,175,681 ms (0.2%)","515"
"org.mariadb.jdbc.client.result.Result.getLong ()","24,844 ms (0.2%)","24,844 ms (0.2%)","114,524 ms (0%)","114,524 ms (0%)","30"
"org.hibernate.sql.ast.spi.AbstractSqlAstTranslator.processNestedTableGroupJoins ()","23,788 ms (0.2%)","23,788 ms (0.2%)","23,788 ms (0%)","23,788 ms (0%)","2"
"io.micrometer.observation.Observation$Context.<init> ()","23,788 ms (0.2%)","23,788 ms (0.2%)","23,788 ms (0%)","23,788 ms (0%)","2"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.setIdentifier ()","23,321 ms (0.2%)","23,321 ms (0.2%)","50,333 ms (0%)","50,333 ms (0%)","9"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.hasOrphanDelete ()","22,128 ms (0.2%)","22,128 ms (0.2%)","22,128 ms (0%)","22,128 ms (0%)","5"
"org.hibernate.type.descriptor.java.AbstractClassJavaType.extractHashCode ()","22,093 ms (0.2%)","22,093 ms (0.2%)","54,099 ms (0%)","54,099 ms (0%)","12"
"io.micrometer.observation.Observation.createNotStarted ()","21,726 ms (0.2%)","21,726 ms (0.2%)","46,947 ms (0%)","46,947 ms (0%)","4"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveInstance ()","20,047 ms (0.2%)","20,047 ms (0.2%)","1,189,763 ms (0.1%)","1,189,763 ms (0.1%)","316"
"io.micrometer.observation.Observation$Event.of ()","19,957 ms (0.2%)","19,957 ms (0.2%)","19,957 ms (0%)","19,957 ms (0%)","2"
"org.hibernate.type.descriptor.jdbc.TimestampJdbcType$2.doExtract ()","19,417 ms (0.2%)","19,417 ms (0.2%)","2,264,925 ms (0.1%)","2,264,925 ms (0.2%)","332"
"org.hibernate.engine.spi.SubselectFetch$StandardRegistrationHandler.addKey ()","19,392 ms (0.2%)","19,392 ms (0.2%)","30,354 ms (0%)","30,354 ms (0%)","4"
"org.jboss.logging.Logger.isDebugEnabled ()","19,032 ms (0.2%)","19,032 ms (0.2%)","171,916 ms (0%)","171,916 ms (0%)","38"
"com.fasterxml.jackson.databind.type.TypeBindings.createIfNeeded ()","19,016 ms (0.2%)","19,016 ms (0.2%)","19,016 ms (0%)","19,016 ms (0%)","3"
"org.hibernate.sql.results.internal.RowProcessingStateStandardImpl.getJdbcValue ()","18,535 ms (0.2%)","18,535 ms (0.2%)","5,001,613 ms (0.3%)","5,001,613 ms (0.4%)","687"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","18,480 ms (0.2%)","18,480 ms (0.2%)","98,767 ms (0%)","98,261 ms (0%)","29"
"org.hibernate.engine.internal.AbstractEntityEntry.requiresDirtyCheck ()","18,184 ms (0.2%)","18,184 ms (0.2%)","35,523 ms (0%)","35,523 ms (0%)","6"
"org.mariadb.jdbc.message.server.OkPacket.<init> ()","18,169 ms (0.2%)","18,169 ms (0.2%)","114,838 ms (0%)","114,838 ms (0%)","17"
"org.hibernate.engine.internal.Cascade.deleteOrphans ()","17,945 ms (0.2%)","17,945 ms (0.2%)","64,900 ms (0%)","64,900 ms (0%)","12"
"com.fasterxml.jackson.databind.util.LRUMap.<init> ()","17,732 ms (0.2%)","17,732 ms (0.2%)","45,488 ms (0%)","45,488 ms (0%)","7"
"org.hibernate.persister.entity.AbstractEntityPersister.setPropertyValues ()","17,527 ms (0.1%)","17,527 ms (0.2%)","121,597 ms (0%)","121,597 ms (0%)","26"
"org.mariadb.jdbc.client.result.CompleteResult.<init> ()","17,251 ms (0.1%)","17,251 ms (0.1%)","554,390 ms (0%)","540,830 ms (0%)","115"
"org.hibernate.sql.exec.spi.JdbcParameterBindings.createAndAddBinding ()","16,178 ms (0.1%)","16,178 ms (0.1%)","16,178 ms (0%)","16,178 ms (0%)","3"
"io.micrometer.core.instrument.internal.DefaultLongTaskTimer.start ()","16,059 ms (0.1%)","16,059 ms (0.1%)","26,117 ms (0%)","26,117 ms (0%)","3"
"org.hibernate.sql.exec.internal.JdbcSelectExecutorStandardImpl$1.getEffectiveOptionalObject ()","16,019 ms (0.1%)","16,019 ms (0.1%)","16,019 ms (0%)","16,019 ms (0%)","2"
"org.hibernate.type.AbstractStandardBasicType.isSame ()","15,990 ms (0.1%)","15,990 ms (0.1%)","15,990 ms (0%)","15,990 ms (0%)","2"
"io.micrometer.observation.SimpleObservation.notifyOnEvent ()","15,830 ms (0.1%)","15,830 ms (0.1%)","430,943 ms (0%)","430,943 ms (0%)","55"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.initializeIdentifier ()","15,830 ms (0.1%)","15,830 ms (0.1%)","152,536 ms (0%)","152,536 ms (0%)","36"
"org.hibernate.sql.results.graph.basic.BasicResult.<init> ()","15,830 ms (0.1%)","15,830 ms (0.1%)","15,830 ms (0%)","15,830 ms (0%)","4"
"io.lettuce.core.protocol.CommandHandler.complete ()","15,830 ms (0.1%)","15,830 ms (0.1%)","23,073 ms (0%)","23,073 ms (0%)","5"
"org.apache.coyote.http11.Http11InputBuffer.parseHeader ()","15,404 ms (0.1%)","15,404 ms (0.1%)","46,032 ms (0%)","46,032 ms (0%)","17"
"io.micrometer.common.KeyValues.of ()","15,200 ms (0.1%)","15,200 ms (0.1%)","106,406 ms (0%)","106,406 ms (0%)","15"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.readUnsignedShort ()","14,991 ms (0.1%)","14,991 ms (0.1%)","14,991 ms (0%)","14,991 ms (0%)","3"
"org.hibernate.event.service.internal.EventListenerGroupImpl.fireEventOnEachListener ()","14,630 ms (0.1%)","14,630 ms (0.1%)","15,602,902 ms (0.9%)","15,142,280 ms (1.1%)","2,467"
"org.antlr.v4.runtime.misc.Interval.of ()","14,536 ms (0.1%)","14,536 ms (0.1%)","14,536 ms (0%)","14,536 ms (0%)","2"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.registerPossibleUniqueKeyEntries ()","14,438 ms (0.1%)","14,438 ms (0.1%)","14,438 ms (0%)","14,438 ms (0%)","3"
"com.fasterxml.jackson.core.util.BufferRecycler.calloc ()","14,386 ms (0.1%)","14,386 ms (0.1%)","14,386 ms (0%)","14,386 ms (0%)","2"
"org.hibernate.sql.results.graph.DomainResultAssembler.assemble ()","14,324 ms (0.1%)","14,324 ms (0.1%)","4,973,456 ms (0.3%)","4,973,456 ms (0.4%)","672"
"org.hibernate.sql.results.spi.ListResultsConsumer.consume ()","14,075 ms (0.1%)","14,075 ms (0.1%)","13,055,305 ms (0.7%)","12,313,125 ms (0.9%)","3,797"
"org.apache.catalina.connector.Request.getRequestURI ()","13,689 ms (0.1%)","13,689 ms (0.1%)","66,395 ms (0%)","66,395 ms (0%)","9"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.registerResolutionListener ()","13,605 ms (0.1%)","13,605 ms (0.1%)","18,906 ms (0%)","18,906 ms (0%)","3"
"org.hibernate.engine.internal.AbstractEntityEntry.getLockMode ()","13,516 ms (0.1%)","13,516 ms (0.1%)","13,516 ms (0%)","13,516 ms (0%)","2"
"org.hibernate.resource.jdbc.internal.ResourceRegistryStandardImpl.register ()","13,370 ms (0.1%)","13,370 ms (0.1%)","79,049 ms (0%)","79,049 ms (0%)","12"
"org.mariadb.jdbc.MariaDbClob.getCharacterStream ()","13,120 ms (0.1%)","13,120 ms (0.1%)","834,117 ms (0%)","834,117 ms (0.1%)","124"
"org.mariadb.jdbc.MariaDbClob.length ()","12,795 ms (0.1%)","12,795 ms (0.1%)","12,795 ms (0%)","12,795 ms (0%)","4"
"org.apache.tomcat.util.threads.TaskThreadFactory.newThread ()","12,610 ms (0.1%)","12,610 ms (0.1%)","12,715 ms (0%)","12,715 ms (0%)","2"
"io.micrometer.core.instrument.AbstractTimerBuilder.<init> ()","12,610 ms (0.1%)","12,610 ms (0.1%)","70,975 ms (0%)","70,975 ms (0%)","7"
"org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorBuilderImpl.buildTransactionCoordinator ()","12,610 ms (0.1%)","12,610 ms (0.1%)","12,610 ms (0%)","12,610 ms (0%)","1"
"com.fasterxml.jackson.databind.introspect.BasicBeanDescription.forOtherUse ()","12,610 ms (0.1%)","12,610 ms (0.1%)","12,610 ms (0%)","12,610 ms (0%)","1"
"org.apache.tomcat.util.buf.CharChunk.equalsIgnoreCase ()","12,186 ms (0.1%)","12,186 ms (0.1%)","12,186 ms (0%)","12,186 ms (0%)","3"
"org.hibernate.event.internal.AbstractFlushingEventListener.prepareCollectionFlushes ()","12,081 ms (0.1%)","12,081 ms (0.1%)","322,153 ms (0%)","322,153 ms (0%)","45"
"org.apache.tomcat.util.net.NioEndpoint.createSocketProcessor ()","12,010 ms (0.1%)","12,010 ms (0.1%)","12,010 ms (0%)","12,010 ms (0%)","2"
"org.hibernate.sql.exec.internal.JdbcSelectExecutorStandardImpl.doExecuteQuery ()","11,976 ms (0.1%)","11,976 ms (0.1%)","13,382,635 ms (0.8%)","12,609,650 ms (0.9%)","1,981"
"org.mariadb.jdbc.ServerPreparedStatement.executeStandard ()","11,976 ms (0.1%)","11,976 ms (0.1%)","1,541,670 ms (0.1%)","911,791 ms (0.1%)","433"
"org.hibernate.sql.results.internal.ResultsHelper.createRowReader ()","11,976 ms (0.1%)","11,976 ms (0.1%)","130,422 ms (0%)","129,916 ms (0%)","60"
"com.fasterxml.jackson.core.JsonFactory._createUTF8Generator ()","11,976 ms (0.1%)","11,976 ms (0.1%)","48,468 ms (0%)","48,468 ms (0%)","6"
"io.jsonwebtoken.impl.Base64UrlCodec.decode ()","11,894 ms (0.1%)","11,894 ms (0.1%)","13,643 ms (0%)","13,643 ms (0%)","3"
"org.hibernate.engine.internal.StatefulPersistenceContext.getBatchFetchQueue ()","11,894 ms (0.1%)","11,894 ms (0.1%)","11,894 ms (0%)","11,894 ms (0%)","1"
"org.apache.catalina.connector.Response.getResponse ()","11,894 ms (0.1%)","11,894 ms (0.1%)","11,894 ms (0%)","11,894 ms (0%)","1"
"io.micrometer.core.instrument.LongTaskTimer$Builder.register ()","11,894 ms (0.1%)","11,894 ms (0.1%)","21,794 ms (0%)","21,794 ms (0%)","4"
"org.hibernate.query.spi.Limit.makeCopy ()","11,894 ms (0.1%)","11,894 ms (0.1%)","11,894 ms (0%)","11,894 ms (0%)","1"
"io.lettuce.core.protocol.CommandHandler.decode ()","11,494 ms (0.1%)","11,494 ms (0.1%)","93,046 ms (0%)","93,046 ms (0%)","40"
"org.hibernate.engine.jdbc.mutation.internal.MutationExecutorSingleBatched.lambda$resolveBatch$0 ()","11,494 ms (0.1%)","11,494 ms (0.1%)","11,494 ms (0%)","11,494 ms (0%)","1"
"org.hibernate.engine.internal.StatefulPersistenceContext.reassociateIfUninitializedProxy ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,492 ms (0%)","11,492 ms (0%)","2"
"org.hibernate.type.AbstractType.isSame ()","11,387 ms (0.1%)","11,387 ms (0.1%)","12,199 ms (0%)","12,199 ms (0%)","2"
"io.micrometer.observation.docs.ObservationDocumentation.observation ()","11,387 ms (0.1%)","11,387 ms (0.1%)","45,723 ms (0%)","45,723 ms (0%)","4"
"org.hibernate.query.spi.QueryOptionsAdapter.getLimit ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,387 ms (0%)","11,387 ms (0%)","1"
"com.fasterxml.jackson.databind.SerializationConfig.initialize ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,387 ms (0%)","11,387 ms (0%)","1"
"org.hibernate.sql.results.graph.Initializer.asEntityInitializer ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,387 ms (0%)","11,387 ms (0%)","1"
"org.hibernate.metamodel.mapping.BasicValuedMapping.getJdbcMapping ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,387 ms (0%)","11,387 ms (0%)","1"
"org.mariadb.jdbc.client.result.Result.readNext ()","11,387 ms (0.1%)","11,387 ms (0.1%)","11,387 ms (0%)","11,387 ms (0%)","1"
"org.hibernate.event.internal.AbstractFlushingEventListener$$Lambda$2730.0x0000000801b28ab8.accept ()","11,360 ms (0.1%)","11,360 ms (0.1%)","11,360 ms (0%)","11,360 ms (0%)","6"
"org.hibernate.engine.internal.Cascade.cascadeCollection ()","11,281 ms (0.1%)","11,281 ms (0.1%)","259,615 ms (0%)","259,615 ms (0%)","61"
