"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readPacket ()","571,429 ms (5.4%)","571,429 ms (5.4%)","618,034 ms (0%)","604,322 ms (0%)","108"
"com.example.sns_project.model.BaseEntity.equals ()","383,541 ms (3.6%)","383,541 ms (3.6%)","383,541 ms (0%)","383,541 ms (0%)","83"
"org.apache.coyote.http11.Http11Processor.isConnectionToken ()","339,315 ms (3.2%)","339,315 ms (3.2%)","387,592 ms (0%)","387,592 ms (0%)","84"
"org.hibernate.persister.entity.AbstractEntityPersister.getPropertyValues ()","318,851 ms (3%)","318,851 ms (3%)","402,901 ms (0%)","402,901 ms (0%)","59"
"ch.qos.logback.classic.spi.TurboFilterList.getTurboFilterChainDecision ()","299,778 ms (2.8%)","299,778 ms (2.8%)","302,076 ms (0%)","302,076 ms (0%)","69"
"org.hibernate.engine.internal.StatefulPersistenceContext$EntityHolderImpl.forEntity ()","202,987 ms (1.9%)","202,987 ms (1.9%)","202,987 ms (0%)","202,987 ms (0%)","35"
"org.hibernate.internal.util.collections.IdentityMap.entryArray ()","173,498 ms (1.6%)","173,498 ms (1.6%)","173,498 ms (0%)","173,498 ms (0%)","30"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.extractConcreteTypeStateValues ()","173,154 ms (1.6%)","173,154 ms (1.6%)","4,337,568 ms (0.2%)","4,337,568 ms (0.3%)","617"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveKey ()","172,057 ms (1.6%)","172,057 ms (1.6%)","503,787 ms (0%)","503,787 ms (0%)","86"
"org.hibernate.type.SetType.instantiate ()","159,116 ms (1.5%)","159,116 ms (1.5%)","182,772 ms (0%)","182,772 ms (0%)","31"
"org.mariadb.jdbc.message.ClientMessage.readPacket ()","158,754 ms (1.5%)","158,754 ms (1.5%)","2,502,229 ms (0.1%)","1,059,186 ms (0.1%)","560"
"org.mariadb.jdbc.client.result.rowdecoder.BinaryRowDecoder.setPosition ()","151,389 ms (1.4%)","151,389 ms (1.4%)","151,389 ms (0%)","151,389 ms (0%)","42"
"org.hibernate.event.internal.AbstractFlushingEventListener.lambda$postFlush$1 ()","148,162 ms (1.4%)","148,162 ms (1.4%)","369,159 ms (0%)","369,159 ms (0%)","66"
"org.hibernate.engine.internal.StatefulPersistenceContext.addUninitializedCollection ()","148,116 ms (1.4%)","148,116 ms (1.4%)","1,425,006 ms (0.1%)","1,425,006 ms (0.1%)","259"
"org.hibernate.type.descriptor.java.DataHelper.extractString ()","146,140 ms (1.4%)","146,140 ms (1.4%)","1,151,577 ms (0.1%)","1,151,577 ms (0.1%)","257"
"org.hibernate.loader.ast.spi.Loadable.isAffectedByInfluencers ()","133,054 ms (1.3%)","133,054 ms (1.3%)","136,401 ms (0%)","136,401 ms (0%)","18"
"org.hibernate.engine.spi.CascadingActions$8.noCascade ()","132,534 ms (1.3%)","132,534 ms (1.3%)","174,493 ms (0%)","174,493 ms (0%)","37"
