"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"com.example.sns_project.model.BaseEntity.equals ()","68,961 ms (10.6%)","68,961 ms (10.6%)","68,961 ms (0%)","68,961 ms (0.1%)","128"
"ch.qos.logback.classic.LoggerContext.getTurboFilterChainDecision_0_3OrMore ()","37,499 ms (5.8%)","37,499 ms (5.8%)","38,727 ms (0%)","38,727 ms (0%)","65"
"org.hibernate.type.descriptor.java.AbstractClassJavaType.extractHashCode ()","20,594 ms (3.2%)","20,594 ms (3.2%)","20,594 ms (0%)","20,594 ms (0%)","34"
"org.hibernate.engine.internal.EntityEntryContext.processEachManagedEntity ()","18,937 ms (2.9%)","18,937 ms (2.9%)","18,937 ms (0%)","18,937 ms (0%)","27"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.deepCopy ()","18,763 ms (2.9%)","18,763 ms (2.9%)","20,651 ms (0%)","20,651 ms (0%)","27"
"org.hibernate.sql.results.graph.FetchParentAccess.shouldSkipInitializer ()","17,365 ms (2.7%)","17,365 ms (2.7%)","43,637 ms (0%)","43,637 ms (0.1%)","83"
"org.hibernate.engine.spi.CascadingActions$8.noCascade ()","17,193 ms (2.6%)","17,193 ms (2.6%)","23,023 ms (0%)","23,023 ms (0%)","41"
"org.hibernate.persister.entity.DirtyHelper.isDirty ()","15,228 ms (2.3%)","15,228 ms (2.3%)","15,228 ms (0%)","15,228 ms (0%)","22"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesResultSetImpl.getCurrentRowValue ()","15,157 ms (2.3%)","15,157 ms (2.3%)","130,185 ms (0%)","130,185 ms (0.2%)","195"
"org.hibernate.event.service.internal.EventListenerGroupImpl.fireEventOnEachListener ()","13,520 ms (2.1%)","13,520 ms (2.1%)","1,053,986 ms (0.1%)","925,402 ms (1.1%)","1,778"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.getIdentifier ()","12,330 ms (1.9%)","12,330 ms (1.9%)","12,330 ms (0%)","12,330 ms (0%)","22"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readPacket ()","12,146 ms (1.9%)","12,146 ms (1.9%)","86,005 ms (0%)","48,585 ms (0.1%)","133"
"org.hibernate.event.internal.AbstractVisitor.processValue ()","11,612 ms (1.8%)","11,612 ms (1.8%)","29,384 ms (0%)","29,384 ms (0%)","85"
"org.hibernate.event.internal.WrapVisitor.processValue ()","9,440 ms (1.5%)","9,440 ms (1.5%)","15,517 ms (0%)","15,517 ms (0%)","25"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.hasOrphanDelete ()","9,405 ms (1.4%)","9,405 ms (1.4%)","9,405 ms (0%)","9,405 ms (0%)","12"
"org.hibernate.sql.results.spi.ListResultsConsumer$Results.addUnique ()","8,988 ms (1.4%)","8,988 ms (1.4%)","8,988 ms (0%)","8,988 ms (0%)","13"
"org.hibernate.engine.spi.CollectionEntry.preFlush ()","8,851 ms (1.4%)","8,851 ms (1.4%)","10,856 ms (0%)","10,856 ms (0%)","14"
"org.mariadb.jdbc.client.column.TimestampColumn.decodeTimestampText ()","7,730 ms (1.2%)","7,730 ms (1.2%)","42,796 ms (0%)","42,796 ms (0%)","61"
"org.hibernate.event.internal.AbstractFlushingEventListener.createOrReuseEventInstance ()","7,492 ms (1.2%)","7,492 ms (1.2%)","7,492 ms (0%)","7,492 ms (0%)","14"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.doCascade ()","6,724 ms (1%)","6,724 ms (1%)","6,724 ms (0%)","6,724 ms (0%)","10"
"org.mariadb.jdbc.client.result.rowdecoder.TextRowDecoder.setPosition ()","6,716 ms (1%)","6,716 ms (1%)","6,716 ms (0%)","6,716 ms (0%)","12"
"io.netty.util.HashedWheelTimer$Worker.run ()","6,680 ms (1%)","6,680 ms (1%)","295,995 ms (0%)","7,578 ms (0%)","1"
"org.hibernate.engine.internal.EntityEntryContext.clearAllReferencesFromManagedEntities ()","6,534 ms (1%)","6,534 ms (1%)","6,534 ms (0%)","6,534 ms (0%)","12"
"org.hibernate.event.internal.AbstractFlushingEventListener$$Lambda$2673.0x0000000801b34950.accept ()","6,439 ms (1%)","6,439 ms (1%)","6,648 ms (0%)","6,648 ms (0%)","11"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.initializeEntity ()","5,773 ms (0.9%)","5,773 ms (0.9%)","190,163 ms (0%)","190,163 ms (0.2%)","282"
"org.mariadb.jdbc.MariaDbClob.length ()","5,451 ms (0.8%)","5,451 ms (0.8%)","5,451 ms (0%)","5,451 ms (0%)","9"
"org.hibernate.sql.exec.spi.ExecutionContext.hasCallbackActions ()","5,414 ms (0.8%)","5,414 ms (0.8%)","5,414 ms (0%)","5,414 ms (0%)","8"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.atoll ()","5,396 ms (0.8%)","5,396 ms (0.8%)","5,396 ms (0%)","5,396 ms (0%)","8"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","5,321 ms (0.8%)","5,321 ms (0.8%)","12,581 ms (0%)","12,581 ms (0%)","26"
"org.hibernate.engine.internal.StatefulPersistenceContext.clear ()","4,817 ms (0.7%)","4,817 ms (0.7%)","15,411 ms (0%)","15,411 ms (0%)","27"
